Eco_Reserve,Location,Transect,Plot,Latitude,Longitude,Elevation,Slope,Aspect,Forest_Type,Harvest_History,Age_DBH,Live_Basal_Area,Live_TPH,Large_Live_TPH,Very_Large_Live_TPH,Standing_Dead_TPH,Large_Standing_Dead_TPH,Very_Large_Standing_Dead_TPH,DCWD_Volume,Large_DCWD_Volume
Spring River Lake,NA,6,6,44.62811883,-68.05147921,156,40,173,500,5,71,25.63903662,356.9019895,9.876194003,9.876194003,79.23605293,19.75238801,19.75238801,2.199354741,0
Spring River Lake,NA,7,1,44.62846188,-68.03015576,129,6,49,500,1,50,5.573500489,118.9673298,0,0,0,0,0,25.67059362,0
Spring River Lake,NA,7,2,44.6294865,-68.02678526,105,18,41,500,1,102,7.853356515,59.48366492,69.35985893,9.876194003,59.48366492,0,0,15.18929368,0
Spring River Lake,NA,7,3,44.63058927,-68.02414455,91,12,80,900,0,24,3.667391353,118.9673298,0,0,178.4509948,0,0,14.53636024,0
Spring River Lake,NA,7,4,44.63167528,-68.02165531,56,6,80,800,1,NA,1.705220183,118.9673298,0,0,0,0,0,0,0
Spring River Lake,NA,7,5,44.63281438,-68.01906422,48,8,115,900,1,30,20.63550013,951.7386388,0,0,0,0,0,51.37555216,0
Spring River Lake,NA,7,6,44.63392424,-68.01622137,48,0,0,900,1,35,4.606430413,297.4183246,0,0,0,0,0,0,0
Bigelow,NA,1,1,45.18115986,-70.30136884,352,10,80,120,1,NA,34.07665296,475.8693194,59.48366492,0,59.48366492,0,0,23.67742839,0
Bigelow,NA,1,2,45.17928117,-70.300346,362,7,35,800,1,118,19.48155661,356.9019895,9.876194003,9.876194003,118.9673298,0,0,30.48168212,0
Bigelow,NA,1,3,45.17747819,-70.29820496,371,5,50,120,1,132,28.72997011,594.8366492,9.876194003,9.876194003,59.48366492,0,0,24.26163199,0
Bigelow,NA,1,4,45.17542352,-70.29682195,388,5,20,120,1,115,28.70530282,535.3529843,98.98844094,39.50477601,178.4509948,0,0,83.23183099,0
Bigelow,NA,1,5,45.17357014,-70.29515091,405,5,100,800,1,NA,30.50447362,485.7455134,9.876194003,9.876194003,0,0,0,20.2409366,0
Bigelow,NA,1,6,45.17169859,-70.29349228,417,5,5,120,1,175,37.3618414,416.3856545,148.5959119,29.62858201,59.48366492,0,0,51.61610658,0
Bigelow,NA,2,2,45.16919076,-70.30109621,444,10,350,800,5,66,38.89303569,247.8108537,208.0795768,19.75238801,178.4509948,0,0,48.93564299,0
Bigelow,NA,2,3,45.16735578,-70.30255598,465,12,350,800,5,85,29.23583653,475.8693194,118.9673298,0,59.48366492,0,0,57.18322327,54.98386853
Bigelow,NA,2,4,45.1654752,-70.30406551,482,14,340,800,5,98,48.82092103,654.3203142,188.3271888,9.876194003,118.9673298,0,0,19.41617857,0
Bigelow,NA,2,5,45.16356456,-70.30584147,514,15,345,800,1,62,35.91445985,307.2945186,138.7197179,19.75238801,0,0,0,102.8198342,0
Bigelow,NA,3,1,45.16903952,-70.29698247,441,15,110,800,1,146,38.0979359,475.8693194,59.48366492,0,59.48366492,0,0,47.18303218,0
Bigelow,NA,3,2,45.16692174,-70.29639995,477,12,5,800,1,193,10.11919703,237.9346597,19.75238801,19.75238801,178.4509948,0,0,48.31707447,0
Bigelow,NA,3,3,45.16494953,-70.29568082,507,5,10,800,1,98,10.37147618,416.3856545,19.75238801,19.75238801,9.876194003,9.876194003,9.876194003,84.0222241,0
Bigelow,NA,3,4,45.16279503,-70.29516118,553,10,30,800,1,226,49.67096161,307.2945186,227.8319648,49.38097001,9.876194003,9.876194003,9.876194003,76.35884742,0
Bigelow,NA,5,1,45.12131096,-70.32766193,444,18,180,800,0,120,28.35416761,594.8366492,19.75238801,19.75238801,0,0,0,28.17923262,0
Bigelow,NA,5,2,45.12270544,-70.32540557,485,48,255,120,0,143,19.37265611,416.3856545,0,0,59.48366492,0,0,15.84222712,0
